database,pages_ id,Region,Site_name,Lat_N,Long_E,Archive,Proxy_ measurement,Oldest_year,Youngest_year,Time_Units,Original_Author,Original_data_URL,database_link
Global_2017,10338,NaN,CHIN058,34.47,110.08,tree,TRW,1359,2005,(CE),"Shao et al., (2013)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN058.Shao.2013.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10339,NaN,CHIN057,34.47,110.08,tree,TRW,1512,2005,(CE),"Shao et al., (2013)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN057.Shao.2013.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10340,NaN,CHIN056,34.47,110.08,tree,TRW,1458,2005,(CE),"Shao et al., (2013)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN056.Shao.2013.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10341,NaN,CHIN055,37.52,97.05,tree,TRW,1237,2002,(CE),"Shao et al., (2013)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN055.Shao.2013.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10342,NaN,CHIN054,37.45,97.78,tree,TRW,711,2003,(CE),"Shao et al., (2013)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN054.Shao.2013.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10343,NaN,CHIN053,37.43,98.05,tree,TRW,451,2002,(CE),"Shao et al., (2013)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN053.Shao.2013.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10344,NaN,CHIN052,37.45,97.53,tree,TRW,404,2002,(CE),"Shao et al., (2013)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN052.Shao.2013.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10345,NaN,CHIN051,37.47,97.22,tree,TRW,828,2001,(CE),"Shao et al., (2013)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN051.Shao.2013.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10346,NaN,CHIN050,37.47,97.23,tree,TRW,843,2001,(CE),"Shao et al., (2013)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN050.Shao.2013.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10347,NaN,CHIN041,27.88,98.4,tree,TRW,1530,2005,(CE),"Fan et al., (2013)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN041.Fan.2013.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
